Key;TC;SC;EN
AshamedName;羞愧;羞愧;Ashamed
AshamedText;場景：聚會時別人都穿了好看又昂貴的衣服，但是自己只穿了校服;场景：聚会时别人都穿了好看又昂贵的衣服，但是自己只穿了校服;Scenario: Everyone else was wearing nice and expensive clothes at the party, but you were only wearing your school uniform.
AngryName;憤怒;愤怒;Angry
AngryText;場景：遇到同學小A在你背後打小報告;场景：遇到同学小A在你背后打小报告;Scenario: You meet classmate A who is snitching on you behind your back
GuiltyName;內疚;内疚;Guilty
GuiltyText;場景：不小心弄髒了朋友昂貴的衣服;场景：不小心弄脏了朋友昂贵的衣服;Scenario: You accidentally soiled a friend's expensive clothes
SadName;悲傷;悲伤;Sad
SadText;場景：好朋友小A轉學了;场景：好朋友小A转学了;Scenario: Your best friend friend A transferred to another school
CheerfulName;快樂;快乐;Cheerful
CheerfulText;場景：你考了全班第一，但是你的朋友小A考砸了，你想和小A分享自己的好成績;场景：你考了全班第一，但是你的朋友小A考砸了，你想和小A分享自己的好成绩;Scenario: You ranked first in the class, but your friend friend A failed the test. You want to share your good results with him/her
